日期,项目ID,广告位ID,代理曝光,代理点击,媒体曝光,媒体点击
2018/3/18,1072,102377,1132923,17929,,
2018/3/19,1072,102377,476644,9678,,
2018/3/18,1072,102377,313829,974,,
2018/3/20,1072,102377,293117,5300,,
2018/3/18,1072,102377,242504,0,,
2018/3/21,1072,102377,193634,3284,,
2018/3/22,1072,102377,175655,2813,,
2018/3/19,1072,102377,135196,450,,
2018/3/20,1072,102377,123454,408,,
2018/3/19,1072,102377,117247,2,,
2018/3/20,1072,102377,94380,0,,
2018/3/21,1072,102377,86811,190,,
2018/3/22,1072,102377,76385,210,,
2018/3/21,1072,102377,66894,0,,
2018/3/22,1072,102377,42847,0,,
2018/3/22,1066,102308,0,107,,
2018/3/22,1066,102308,0,88195,,
2018/3/22,1066,102309,0,2,,
2018/3/18,1066,102308,0,25,,
2018/3/19,1066,102308,0,74513,,
2018/3/20,1066,102308,0,12084,,
2018/3/21,1066,102308,0,224,,
2018/3/19,1071,102374,1230,1135,,
2018/3/19,1071,102375,1126,1042,,
2018/3/20,1071,102374,1098,1031,,
2018/3/20,1071,102375,1069,1001,,
2018/3/21,1071,102374,933,866,,
2018/3/18,1071,102374,872,806,,
2018/3/22,1071,102374,846,769,,
2018/3/21,1071,102375,826,742,,
2018/3/18,1071,102375,805,720,,
2018/3/22,1071,102375,791,711,,
2018/3/20,1068,101775,1197825,862621,,
2018/3/19,1068,101775,1187366,862574,,
2018/3/18,1068,101775,1184640,847027,,
2018/3/21,1068,101775,1170119,864885,,
2018/3/20,1068,101779,527607,434922,,
2018/3/21,1068,101779,526329,436858,,
2018/3/18,1068,101779,524971,435013,,
2018/3/19,1068,101779,523463,432924,,
2018/3/22,1068,101775,252793,243041,,
2018/3/22,1068,101779,112867,108395,,
2018/3/18,1060,102178,7,0,,
2018/3/19,1060,102178,4,0,,
2018/3/19,1060,102179,2,0,,
2018/3/18,400,12999,86,2,,
2018/3/19,400,12999,64,5,,
2018/3/19,400,1566,57,0,,
2018/3/20,400,12999,41,1,,
2018/3/21,400,12999,35,0,,
2018/3/19,400,13101,28,0,,
2018/3/18,400,13102,28,0,,
2018/3/18,400,2980,27,0,,
2018/3/22,400,12999,27,0,,
2018/3/19,400,2980,24,1,,
2018/3/18,400,2980,24,24,,
2018/3/19,400,2980,21,22,,
2018/3/18,400,13103,21,0,,
2018/3/19,400,13102,20,3,,
2018/3/19,400,13104,20,22,,
2018/3/19,400,13103,19,0,,
2018/3/22,400,1566,19,1,,
2018/3/18,400,13101,17,0,,
2018/3/18,400,1566,17,16,,
2018/3/20,400,1566,16,15,,
2018/3/19,400,13103,16,18,,
2018/3/19,400,13101,15,16,,
2018/3/18,400,13101,15,15,,
2018/3/22,400,13101,15,0,,
2018/3/20,400,13103,14,14,,
2018/3/18,400,13104,14,14,,
2018/3/20,400,2980,13,12,,
2018/3/20,400,13104,13,11,,
2018/3/19,400,1566,13,12,,
2018/3/18,400,13103,13,13,,
2018/3/18,400,12999,13,0,,
2018/3/21,400,13104,13,12,,
2018/3/20,400,1566,11,0,,
2018/3/19,400,12999,11,0,,
2018/3/20,400,13103,10,0,,
2018/3/20,400,13101,10,10,,
2018/3/18,400,1566,10,0,,
2018/3/21,400,1566,10,10,,
2018/3/20,400,13101,9,0,,
2018/3/18,400,12999,9,0,,
2018/3/18,400,12999,8,0,,
2018/3/19,400,12999,7,0,,
2018/3/21,400,12999,7,0,,
2018/3/20,400,12999,6,0,,
2018/3/20,400,12999,6,0,,
2018/3/19,400,12999,6,0,,
2018/3/19,400,13098,6,0,,
2018/3/20,400,2980,5,1,,
2018/3/20,400,13102,5,1,,
2018/3/22,400,2980,5,0,,
2018/3/22,400,2980,5,4,,
2018/3/21,400,2980,5,4,,
2018/3/21,400,13103,5,6,,
2018/3/20,400,12999,4,0,,
2018/3/18,400,13098,4,0,,
2018/3/22,400,13103,4,4,,
2018/3/22,400,12999,4,0,,
2018/3/21,400,13101,4,3,,
2018/3/21,400,12999,4,0,,
2018/3/21,400,12999,4,0,,
2018/3/22,400,1566,3,1,,
2018/3/22,400,13104,3,2,,
2018/3/22,400,12999,3,0,,
2018/3/20,400,13098,2,0,,
2018/3/18,400,13100,2,0,,
2018/3/22,400,13101,2,2,,
2018/3/22,400,12999,2,0,,
2018/3/22,400,13098,2,0,,
2018/3/21,400,13098,2,0,,
2018/3/20,400,13100,1,0,,
2018/3/22,400,13100,1,0,,
2018/3/20,400,13146,0,10,,
2018/3/20,400,13147,0,2,,
2018/3/20,400,13148,0,1,,
2018/3/20,400,13150,0,1,,
2018/3/20,400,13146,0,102540,,
2018/3/20,400,13147,0,102757,,
2018/3/20,400,13148,0,79620,,
2018/3/20,400,13152,0,5573,,
2018/3/20,400,13150,0,5556,,
2018/3/20,400,3748,0,169407,,
2018/3/20,400,11547,0,26628,,
2018/3/20,400,2928,0,224788,,
2018/3/19,400,13146,0,110282,,
2018/3/19,400,13147,0,110179,,
2018/3/19,400,13148,0,85609,,
2018/3/19,400,13150,0,5835,,
2018/3/19,400,13146,0,1,,
2018/3/19,400,13147,0,5,,
2018/3/19,400,13148,0,5,,
2018/3/19,400,13152,0,3,,
2018/3/19,400,13150,0,5,,
2018/3/19,400,9806,0,2,,
2018/3/19,400,2928,0,37,,
2018/3/18,400,9806,0,2,,
2018/3/18,400,13146,0,4,,
2018/3/18,400,13147,0,5,,
2018/3/18,400,13148,0,11,,
2018/3/18,400,2928,0,1,,
2018/3/18,400,2928,0,225577,,
2018/3/18,400,3748,0,1,,
2018/3/22,400,13148,0,1,,
2018/3/22,400,13147,0,1,,
2018/3/22,400,13148,0,1,,
2018/3/22,400,2928,0,2,,
2018/3/22,400,3748,0,1,,
2018/3/21,400,13146,0,22,,
2018/3/21,400,13147,0,7,,
2018/3/21,400,13148,0,9,,
2018/3/21,400,13152,0,1,,
2018/3/21,400,13150,0,1,,
2018/3/21,400,3748,0,4,,
2018/3/21,400,11547,0,4,,
2018/3/21,400,2928,0,99,,
2018/3/18,1039,101858,49617,949,,
2018/3/18,1039,101858,10848,0,,
2018/3/18,1039,101858,9458,0,,
2018/3/19,1039,101858,25,4,,
2018/3/22,1039,101858,22,0,,
2018/3/19,1039,101858,14,2,,
2018/3/18,1039,101856,13,0,,
2018/3/18,1039,101857,11,0,,
2018/3/19,1039,101858,11,2,,
2018/3/18,1039,101857,10,0,,
2018/3/19,1039,101857,10,2,,
2018/3/19,1039,101857,9,2,,
2018/3/19,1039,101856,8,2,,
2018/3/19,1039,101857,8,3,,
2018/3/18,1039,101856,7,2,,
2018/3/18,1039,101856,5,0,,
2018/3/19,1039,101856,5,3,,
2018/3/20,1039,101856,5,0,,
2018/3/22,1039,101856,5,0,,
2018/3/20,1039,101858,4,0,,
2018/3/20,1039,101858,4,0,,
2018/3/22,1039,101858,4,0,,
2018/3/18,1039,101857,3,0,,
2018/3/20,1039,101857,3,0,,
2018/3/20,1039,101856,3,0,,
2018/3/22,1039,101856,3,1,,
2018/3/22,1039,101857,3,0,,
2018/3/21,1039,101856,3,0,,
2018/3/21,1039,101857,3,0,,
2018/3/19,1039,101856,2,2,,
2018/3/20,1039,101857,2,0,,
2018/3/20,1039,101858,2,0,,
2018/3/20,1039,101857,2,0,,
2018/3/22,1039,101858,2,0,,
2018/3/21,1039,101858,2,0,,
2018/3/22,1039,101857,1,0,,
2018/3/22,1039,101856,1,0,,
2018/3/18,360,12146,5379,261,,
2018/3/19,360,12146,3868,205,,
2018/3/20,360,12146,3628,221,,
2018/3/22,360,12146,3510,169,,
2018/3/21,360,12146,3448,190,,
2018/3/18,360,12146,786,0,,
2018/3/21,360,12146,609,0,,
2018/3/20,360,12146,600,0,,
2018/3/22,360,12146,561,0,,
2018/3/19,360,12146,488,2,,
2018/3/18,360,12146,193,0,,
2018/3/20,360,12146,140,0,,
2018/3/19,360,12146,138,2,,
2018/3/21,360,12146,121,0,,
2018/3/22,360,12146,120,0,,
2018/3/19,1066,102274,6586755,128541,,
2018/3/20,1066,102274,2786073,52892,,
2018/3/22,1066,102274,2734491,49455,,
2018/3/21,1066,102274,2708910,50745,,
2018/3/19,1066,102274,2557757,24241,,
2018/3/21,1066,102274,1398275,13817,,
2018/3/22,1066,102274,1364785,14349,,
2018/3/20,1066,102274,1308957,12906,,
2018/3/19,400,10609,8336843,781166,,
2018/3/19,400,11014,24707,3,,
2018/3/18,400,10609,3398,434,,
2018/3/18,400,11014,1466,0,,
2018/3/20,400,10609,1151,18226,,
2018/3/20,400,11014,751,0,,
2018/3/21,400,11014,600,0,,
2018/3/22,400,11014,550,464,,
2018/3/22,400,13000,224,1,,
2018/3/18,400,13001,32,0,,
2018/3/22,400,13001,26,26,,
2018/3/18,400,13001,17,0,,
2018/3/19,400,13001,12,4,,
2018/3/20,400,1853,11,1,,
